시,빈도수,Top,대여소,대여소빈도수
0,105,1,502. 뚝섬유원지역 1번출구 앞,3634
1,69,1,
2,28,1,
3,10,1,152. 마포구민체육센터 앞,2431
4,16,1,210. IFC몰,2260
5,20,1,,
6,49,1,,
7,89,1,,
8,116,1,,
9,80,1,,
10,98,1,,
11,101,1,,
12,156,1,,
13,173,1,,
14,226,1,,
15,240,1,,
16,320,1,,
17,281,1,,
18,341,1,,
19,272,1,,
20,240,1,,
21,236,1,,
22,208,1,,
23,160,1,,
0,81,2,207. 여의나루역 1번출구 앞,3513
1,69,2,,
2,29,2,,
3,14,2,,
4,6,2,,
5,5,2,,
6,38,2,,
7,144,2,,
8,157,2,,
9,95,2,,
10,60,2,,
11,114,2,,
12,136,2,,
13,195,2,,
14,223,2,,
15,260,2,,
16,265,2,,
17,324,2,,
18,353,2,,
19,261,2,,
20,214,2,,
21,210,2,,
22,167,2,,
23,93,2,,
0,90,3,2102. 봉림교 교통섬,2732
1,87,3,,
2,49,3,,
3,49,3,,
4,16,3,,
5,30,3,,
6,34,3,,
7,54,3,,
8,106,3,,
9,82,3,,
10,84,3,,
11,97,3,,
12,122,3,,
13,85,3,,
14,129,3,,
15,171,3,,
16,182,3,,
17,192,3,,
18,218,3,,
19,203,3,,
20,180,3,,
21,192,3,,
22,178,3,,
23,102,3,,
