시,빈도수,Top,대여소,대여소빈도수
0,112,1,502. 뚝섬유원지역 1번출구 앞,2978
1,69,1,207. 여의나루역 1번출구 앞,2918
2,45,1,4217. 한강공원 망원나들목,2671
3,31,1,2715.마곡나루역 2번 출구 ,2465
4,23,1,2102. 봉림교 교통섬,2405
5,11,1,,
6,26,1,,
7,62,1,,
8,129,1,,
9,93,1,,
10,86,1,,
11,113,1,,
12,114,1,,
13,108,1,,
14,117,1,,
15,174,1,,
16,205,1,,
17,201,1,,
18,258,1,,
19,206,1,,
20,210,1,,
21,208,1,,
22,205,1,,
23,172,1,,
0,124,2,207. 여의나루역 1번출구 앞,2918
1,81,2,,
2,32,2,,
3,24,2,,
4,19,2,,
5,10,2,,
6,20,2,,
7,84,2,,
8,126,2,,
9,87,2,,
10,101,2,,
11,106,2,,
12,94,2,,
13,112,2,,
14,155,2,,
15,171,2,,
16,170,2,,
17,218,2,,
18,227,2,,
19,202,2,,
20,229,2,,
21,201,2,,
22,181,2,,
23,144,2,,
0,109,3,4217. 한강공원 망원나들목,2671
1,62,3,,
2,37,3,,
3,18,3,,
4,15,3,,
5,12,3,,
6,22,3,,
7,44,3,,
8,74,3,,
9,85,3,,
10,91,3,,
11,99,3,,
12,91,3,,
13,113,3,,
14,139,3,,
15,157,3,,
16,186,3,,
17,192,3,,
18,200,3,,
19,187,3,,
20,201,3,,
21,210,3,,
22,188,3,,
23,139,3,,
