시,빈도수,Top,대여소,대여소빈도수
0,55,1,2715.마곡나루역 2번 출구 ,2572
1,16,1,502. 뚝섬유원지역 1번출구 앞,2188
2,22,1,1210. 롯데월드타워(잠실역2번출구 쪽),2145
3,6,1,4217. 한강공원 망원나들목,2112
4,4,1,207. 여의나루역 1번출구 앞,2098
5,5,1,,
6,47,1,,
7,76,1,,
8,198,1,,
9,124,1,,
10,75,1,,
11,104,1,,
12,140,1,,
13,131,1,,
14,134,1,,
15,144,1,,
16,159,1,,
17,198,1,,
18,268,1,,
19,182,1,,
20,145,1,,
21,145,1,,
22,120,1,,
23,74,1,,
0,73,2,502. 뚝섬유원지역 1번출구 앞,2188
1,32,2,,
2,20,2,,
3,10,2,,
4,8,2,,
5,3,2,,
6,15,2,,
7,46,2,,
8,113,2,,
9,91,2,,
10,69,2,,
11,81,2,,
12,83,2,,
13,116,2,,
14,143,2,,
15,147,2,,
16,153,2,,
17,166,2,,
18,202,2,,
19,151,2,,
20,148,2,,
21,123,2,,
22,110,2,,
23,85,2,,
0,23,3,1210. 롯데월드타워(잠실역2번출구 쪽),2145
1,8,3,,
2,7,3,,
3,6,3,,
4,0,3,,
5,5,3,,
6,11,3,,
7,57,3,,
8,141,3,,
9,81,3,,
10,78,3,,
11,90,3,,
12,108,3,,
13,120,3,,
14,150,3,,
15,150,3,,
16,183,3,,
17,186,3,,
18,230,3,,
19,158,3,,
20,131,3,,
21,98,3,,
22,77,3,,
23,47,3,,
