시,빈도수,Top,대여소,대여소빈도수
0,70,1,502. 뚝섬유원지역 1번출구 앞,3657
1,40,1,
2,18,1,
3,8,1,152. 마포구민체육센터 앞,2543
4,6,1,583. 청계천 생태교실 앞,2489
5,8,1,,
6,36,1,,
7,53,1,,
8,118,1,,
9,104,1,,
10,77,1,,
11,98,1,,
12,166,1,,
13,233,1,,
14,281,1,,
15,319,1,,
16,356,1,,
17,342,1,,
18,338,1,,
19,288,1,,
20,222,1,,
21,192,1,,
22,170,1,,
23,114,1,,
0,62,2,207. 여의나루역 1번출구 앞,3371
1,35,2,,
2,31,2,,
3,6,2,,
4,4,2,,
5,1,2,,
6,12,2,,
7,158,2,,
8,166,2,,
9,84,2,,
10,67,2,,
11,103,2,,
12,155,2,,
13,184,2,,
14,252,2,,
15,306,2,,
16,306,2,,
17,368,2,,
18,292,2,,
19,214,2,,
20,184,2,,
21,158,2,,
22,122,2,,
23,101,2,,
0,78,3,2102. 봉림교 교통섬,2787
1,70,3,,
2,40,3,,
3,41,3,,
4,8,3,,
5,8,3,,
6,43,3,,
7,46,3,,
8,110,3,,
9,76,3,,
10,86,3,,
11,110,3,,
12,146,3,,
13,142,3,,
14,166,3,,
15,182,3,,
16,237,3,,
17,200,3,,
18,231,3,,
19,179,3,,
20,164,3,,
21,179,3,,
22,154,3,,
23,91,3,,
