시,빈도수,Top,대여소,대여소빈도수
0,121,1,502. 뚝섬유원지역 1번출구 앞,2850
1,79,1,2102. 봉림교 교통섬,2563
2,55,1,207. 여의나루역 1번출구 앞,2498
3,31,1,152. 마포구민체육센터 앞,2294
4,28,1,2715.마곡나루역 2번 출구 ,2197
5,15,1,,
6,36,1,,
7,97,1,,
8,138,1,,
9,104,1,,
10,79,1,,
11,72,1,,
12,91,1,,
13,95,1,,
14,84,1,,
15,126,1,,
16,131,1,,
17,186,1,,
18,241,1,,
19,224,1,,
20,228,1,,
21,225,1,,
22,198,1,,
23,166,1,,
0,106,2,2102. 봉림교 교통섬,2563
1,85,2,,
2,69,2,,
3,54,2,,
4,27,2,,
5,27,2,,
6,36,2,,
7,60,2,,
8,105,2,,
9,62,2,,
10,62,2,,
11,86,2,,
12,94,2,,
13,83,2,,
14,99,2,,
15,115,2,,
16,126,2,,
17,158,2,,
18,212,2,,
19,205,2,,
20,195,2,,
21,197,2,,
22,197,2,,
23,103,2,,
0,113,3,207. 여의나루역 1번출구 앞,2498
1,58,3,,
2,49,3,,
3,28,3,,
4,17,3,,
5,9,3,,
6,23,3,,
7,85,3,,
8,139,3,,
9,69,3,,
10,33,3,,
11,94,3,,
12,74,3,,
13,67,3,,
14,90,3,,
15,125,3,,
16,143,3,,
17,207,3,,
18,204,3,,
19,179,3,,
20,188,3,,
21,203,3,,
22,175,3,,
23,126,3,,
