시,빈도수,Top,대여소,대여소빈도수
0,32,1,2715.마곡나루역 2번 출구 ,2423
1,18,1,502. 뚝섬유원지역 1번출구 앞,2423
2,9,1,2102. 봉림교 교통섬,2299
3,9,1,207. 여의나루역 1번출구 앞,2281
4,10,1,152. 마포구민체육센터 앞,2117
5,4,1,,
6,53,1,,
7,73,1,,
8,185,1,,
9,132,1,,
10,97,1,,
11,94,1,,
12,134,1,,
13,136,1,,
14,142,1,,
15,117,1,,
16,145,1,,
17,171,1,,
18,226,1,,
19,187,1,,
20,148,1,,
21,133,1,,
22,119,1,,
23,49,1,,
0,115,2,502. 뚝섬유원지역 1번출구 앞,2423
1,66,2,,
2,34,2,,
3,25,2,,
4,12,2,,
5,8,2,,
6,35,2,,
7,91,2,,
8,118,2,,
9,84,2,,
10,82,2,,
11,61,2,,
12,82,2,,
13,69,2,,
14,90,2,,
15,81,2,,
16,100,2,,
17,159,2,,
18,196,2,,
19,183,2,,
20,196,2,,
21,203,2,,
22,191,2,,
23,142,2,,
0,105,3,2102. 봉림교 교통섬,2299
1,78,3,,
2,63,3,,
3,40,3,,
4,27,3,,
5,11,3,,
6,18,3,,
7,72,3,,
8,89,3,,
9,54,3,,
10,48,3,,
11,75,3,,
12,82,3,,
13,90,3,,
14,85,3,,
15,106,3,,
16,92,3,,
17,139,3,,
18,180,3,,
19,183,3,,
20,193,3,,
21,192,3,,
22,177,3,,
23,100,3,,
