시,빈도수,Top,대여소,대여소빈도수
0,130,1,502. 뚝섬유원지역 1번출구 앞,2595
1,81,1,207. 여의나루역 1번출구 앞,2382
2,53,1,2715.마곡나루역 2번 출구 ,2303
3,31,1,152. 마포구민체육센터 앞,2251
4,15,1,2102. 봉림교 교통섬,2157
5,19,1,,
6,53,1,,
7,73,1,,
8,112,1,,
9,97,1,,
10,79,1,,
11,60,1,,
12,61,1,,
13,53,1,,
14,63,1,,
15,71,1,,
16,109,1,,
17,147,1,,
18,192,1,,
19,220,1,,
20,240,1,,
21,250,1,,
22,207,1,,
23,179,1,,
0,111,2,207. 여의나루역 1번출구 앞,2382
1,55,2,,
2,23,2,,
3,16,2,,
4,12,2,,
5,24,2,,
6,40,2,,
7,109,2,,
8,132,2,,
9,60,2,,
10,35,2,,
11,51,2,,
12,69,2,,
13,58,2,,
14,65,2,,
15,80,2,,
16,104,2,,
17,215,2,,
18,191,2,,
19,186,2,,
20,197,2,,
21,219,2,,
22,205,2,,
23,125,2,,
0,20,3,2715.마곡나루역 2번 출구 ,2303
1,21,3,,
2,8,3,,
3,4,3,,
4,6,3,,
5,10,3,,
6,50,3,,
7,96,3,,
8,190,3,,
9,125,3,,
10,69,3,,
11,116,3,,
12,121,3,,
13,110,3,,
14,127,3,,
15,115,3,,
16,146,3,,
17,190,3,,
18,261,3,,
19,160,3,,
20,127,3,,
21,104,3,,
22,93,3,,
23,34,3,,
